City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
East London,-33.0153,27.9116,18.17,73,68,6.01,ZA,1636849728
Hambantota,6.1241,81.1185,25.63,83,96,5.74,LK,1636849729
Ushuaia,-54.8,-68.3,11.81,43,40,4.63,AR,1636849715
Vaini,-21.2,-175.2,24.19,69,47,3.74,TO,1636849731
Pagudpud,18.5616,120.7868,27.98,87,84,6.06,PH,1636849732
Chui,-33.6971,-53.4616,17.59,74,0,7.49,UY,1636849732
Tulun,54.5611,100.5792,-3.86,95,100,1.05,RU,1636849733
Øksfjord,70.2396,22.3479,0.51,91,82,4.43,NO,1636849734
Dhule,20.9,74.7833,21.1,56,67,1.05,IN,1636849735
Rikitea,-23.1203,-134.9692,23.05,73,58,5.61,PF,1636849736
Mataura,-46.1927,168.8643,9.8,99,100,0.61,NZ,1636849737
Sakaiminato,35.55,133.2333,12.99,82,40,1.54,JP,1636849737
Sandpoint,48.2766,-116.5533,8.16,88,90,0.0,US,1636849694
Albany,42.6001,-73.9662,3.97,87,99,0.45,US,1636849739
Hobart,-42.8794,147.3294,15.59,58,75,2.24,AU,1636849739
Raudeberg,61.9875,5.1352,6.22,67,38,1.82,NO,1636849740
Puerto Escondido,15.85,-97.0667,27.46,74,1,0.0,MX,1636849741
Narón,43.5167,-8.1528,13.66,79,68,2.32,ES,1636849742
Lata,40.1629,-8.3327,13.78,72,53,1.65,PT,1636849743
Opuwo,-18.0607,13.84,24.63,48,99,1.48,NA,1636849743
Pangnirtung,66.1451,-65.7125,-18.57,87,94,1.94,CA,1636849744
Provideniya,64.3833,-173.3,-4.56,96,99,1.22,RU,1636849745
Ntcheu,-14.8203,34.6359,20.81,71,76,1.51,MW,1636849746
Salta,-24.7859,-65.4117,25.16,63,75,1.03,AR,1636849746
Belyy Yar,53.6039,91.3903,-0.06,84,0,0.0,RU,1636849747
Marabu,4.4148,114.0089,26.08,83,20,1.54,MY,1636849748
Mosal'sk,54.4881,34.9817,0.37,78,74,1.74,RU,1636849748
Hilo,19.7297,-155.09,27.11,95,90,2.06,US,1636849749
Hermanus,-34.4187,19.2345,15.5,86,74,2.92,ZA,1636849750
Busselton,-33.65,115.3333,16.69,55,53,7.94,AU,1636849751
Taunsa,30.7048,70.6505,17.59,17,0,1.31,PK,1636849751
